Date,Open,High,Low,Close,Volume
20250102,1.0388,1.0408,1.0256,1.02825,276522
20250103,1.0297,1.03415,1.02965,1.03335,174940
20250106,1.03345,1.04685,1.0327,1.0419,279621
20250107,1.042,1.04655,1.03705,1.03865,188742
20250108,1.0373,1.0388,1.03035,1.03395,187961
20250109,1.0348,1.03505,1.0313,1.03275,94168
20250110,1.0329,1.0341,1.02415,1.0274,243886
20250113,1.0274,1.02785,1.02045,1.0236,201443
20250114,1.0291,1.0337,1.02665,1.0326,219906
20250115,1.0335,1.03825,1.0285,1.03215,207355
20250116,1.0316,1.03415,1.02865,1.0328,191064
20250117,1.0327,1.0357,1.0291,1.03025,185929
20250121,1.0302,1.0461,1.0292,1.0444,472010
20250122,1.04505,1.0483,1.0418,1.04455,185043
20250123,1.04345,1.0462,1.03955,1.04475,200481
20250124,1.0441,1.05455,1.04355,1.05195,250653
20250127,1.05095,1.05575,1.04775,1.0516,193625
20250128,1.05145,1.0515,1.0437,1.04585,176625
20250129,1.04535,1.04665,1.04045,1.0438,229609
20250130,1.04425,1.0489,1.04075,1.04495,219487
20250131,1.0412,1.0455,1.03705,1.0397,305136
20250203,1.0281,1.0372,1.0231,1.0304,433767
20250204,1.03645,1.0408,1.0292,1.0402,215671
20250205,1.0401,1.0464,1.03895,1.04265,182368
20250206,1.0424,1.0424,1.0371,1.04035,181344
20250207,1.0402,1.04325,1.0323,1.035,295038
20250210,1.0315,1.0354,1.03065,1.0324,132237
20250211,1.03235,1.03985,1.0309,1.03745,152331
20250212,1.0377,1.04465,1.03295,1.04075,279858
20250213,1.03995,1.04835,1.03875,1.0451,305902
20250214,1.04805,1.0529,1.04615,1.0514,203180
20250218,1.0505,1.05205,1.04485,1.04585,243357
20250219,1.04635,1.0474,1.0414,1.04385,152343
20250220,1.04355,1.05155,1.04305,1.0513,170417
20250221,1.0511,1.0517,1.04605,1.0474,181596
20250224,1.04835,1.05395,1.04635,1.04845,200252
20250225,1.0479,1.05295,1.04665,1.05205,177237
20250226,1.0525,1.0539,1.04845,1.05015,209027
20250227,1.0495,1.0505,1.0405,1.0413,249469
20250228,1.04,1.0428,1.0367,1.0375,243659
20250303,1.04095,1.0512,1.0396,1.0481,313366
20250304,1.0492,1.0635,1.0478,1.0608,397006
20250305,1.0629,1.0804,1.06085,1.0797,473901
20250306,1.0798,1.0859,1.0771,1.08075,392404
20250307,1.07935,1.0894,1.0786,1.0847,331076
20250310,1.08465,1.08795,1.08095,1.0834,321711
20250311,1.08375,1.09505,1.0837,1.0935,504306
20250312,1.09175,1.09355,1.08785,1.08875,535145
20250313,1.0891,1.08985,1.0824,1.0855,305527
20250314,1.09075,1.0967,1.08845,1.09355,244120
20250317,1.0937,1.0984,1.09225,1.09805,140360
20250318,1.09765,1.10085,1.0947,1.0998,187543
20250319,1.0996,1.1,1.091,1.0962,194067
20250320,1.09545,1.0969,1.0866,1.09,180439
20250321,1.0906,1.09125,1.0847,1.08715,158453
20250324,1.08715,1.09085,1.0832,1.08565,166534
20250325,1.0853,1.08805,1.0827,1.0848,152647
20250326,1.0843,1.0853,1.07935,1.08045,172095
20250327,1.07885,1.0869,1.0781,1.0839,191301
20250328,1.08455,1.08925,1.0812,1.08725,181969
20250331,1.08665,1.0897,1.0831,1.0862,224617
20250401,1.0864,1.0876,1.08245,1.0833,162370
20250402,1.0838,1.09715,1.0825,1.09005,226275
20250403,1.08755,1.1192,1.0848,1.1082,465197
20250404,1.1097,1.11515,1.09685,1.09885,448958
20250407,1.0966,1.1095,1.09445,1.098,343006
20250408,1.09585,1.1036,1.0932,1.0995,252425
20250409,1.1,1.114,1.09575,1.1006,407379
20250410,1.0998,1.12845,1.0985,1.12595,360909
20250411,1.12445,1.15175,1.12335,1.1356,453175
20250414,1.13655,1.14675,1.1338,1.1397,255177
20250415,1.1395,1.14215,1.1306,1.1316,202322
20250416,1.1321,1.14525,1.1321,1.14265,223971
20250417,1.14395,1.14475,1.1374,1.14135,181633
20250421,1.14305,1.1613,1.143,1.1562,195399
20250422,1.1553,1.1586,1.14555,1.14655,228901
20250423,1.14065,1.1478,1.13455,1.1361,308782
20250424,1.1354,1.14335,1.1354,1.14145,193842
20250425,1.1426,1.1427,1.135,1.1415,172539
20250428,1.1398,1.146,1.1364,1.14475,188190
20250429,1.14545,1.14555,1.14025,1.1415,166343
20250430,1.1421,1.1431,1.13475,1.138,204149
20250501,1.1361,1.13715,1.12965,1.13165,137025
20250502,1.13215,1.14115,1.1304,1.133,191362
20250505,1.1341,1.13945,1.1326,1.13435,132547
20250506,1.13465,1.14105,1.13085,1.14005,174895
20250507,1.14015,1.14065,1.13195,1.1363,167687
20250508,1.13345,1.13625,1.1237,1.1251,233950
20250509,1.12515,1.1318,1.12215,1.1284,158235
20250512,1.1248,1.12675,1.1089,1.1113,278297
20250513,1.11115,1.12185,1.11115,1.1208,174492
20250514,1.121,1.12885,1.1187,1.12015,195872
20250515,1.1199,1.12495,1.1191,1.11975,146186
20250516,1.12075,1.124,1.1151,1.1172,154348
20250519,1.1193,1.13075,1.119,1.12545,179842
20250520,1.12615,1.13055,1.1237,1.12915,141939
20250521,1.1303,1.1382,1.12985,1.1352,188620
20250522,1.13475,1.13605,1.1271,1.1294,161939
20250523,1.1298,1.1394,1.12945,1.1376,215938